TABNAME,COLNAME,TYPENAME,LENGTH,SCALE,DEFAULT,NULLS
EXPLAIN_OPERATOR,EXPLAIN_TIME,TIMESTAMP,10,6,,N
EXPLAIN_OPERATOR,FIRST_COMM_COST,DOUBLE,8,0,,N
EXPLAIN_OPERATOR,FIRST_ROW_COST,DOUBLE,8,0,,N
EXPLAIN_OPERATOR,IO_COST,DOUBLE,8,0,,N
EXPLAIN_OPERATOR,OPERATOR_ID,INTEGER,4,0,,N
EXPLAIN_OPERATOR,OPERATOR_TYPE,CHARACTER,6,0,,N
EXPLAIN_OPERATOR,REMOTE_COMM_COST,DOUBLE,8,0,,N
EXPLAIN_OPERATOR,REMOTE_TOTAL_COST,DOUBLE,8,0,,N
EXPLAIN_OPERATOR,RE_CPU_COST,DOUBLE,8,0,,N
EXPLAIN_OPERATOR,RE_IO_COST,DOUBLE,8,0,,N
EXPLAIN_OPERATOR,RE_TOTAL_COST,DOUBLE,8,0,,N
EXPLAIN_OPERATOR,SECTNO,INTEGER,4,0,,N
EXPLAIN_OPERATOR,SOURCE_NAME,VARCHAR,128,0,,N
EXPLAIN_OPERATOR,SOURCE_SCHEMA,VARCHAR,128,0,,N
EXPLAIN_OPERATOR,SOURCE_VERSION,VARCHAR,64,0,,N
EXPLAIN_OPERATOR,STMTNO,INTEGER,4,0,,N
EXPLAIN_OPERATOR,TOTAL_COST,DOUBLE,8,0,,N
EXPLAIN_PREDICATE,EXPLAIN_LEVEL,CHARACTER,1,0,,N
EXPLAIN_PREDICATE,EXPLAIN_REQUESTER,VARCHAR,128,0,,N
EXPLAIN_PREDICATE,EXPLAIN_TIME,TIMESTAMP,10,6,,N
EXPLAIN_PREDICATE,FILTER_FACTOR,DOUBLE,8,0,,N
EXPLAIN_PREDICATE,HOW_APPLIED,CHARACTER,5,0,,N
EXPLAIN_PREDICATE,OPERATOR_ID,INTEGER,4,0,,N
EXPLAIN_PREDICATE,PREDICATE_ID,INTEGER,4,0,,N
EXPLAIN_PREDICATE,PREDICATE_TEXT,CLOB,2097152,0,,Y
EXPLAIN_PREDICATE,RELOP_TYPE,CHARACTER,2,0,,N
EXPLAIN_PREDICATE,SECTNO,INTEGER,4,0,,N
EXPLAIN_PREDICATE,SOURCE_NAME,VARCHAR,128,0,,N
EXPLAIN_PREDICATE,SOURCE_SCHEMA,VARCHAR,128,0,,N
EXPLAIN_PREDICATE,SOURCE_VERSION,VARCHAR,64,0,,N
EXPLAIN_PREDICATE,STMTNO,INTEGER,4,0,,N
EXPLAIN_PREDICATE,SUBQUERY,CHARACTER,1,0,,N
EXPLAIN_PREDICATE,WHEN_EVALUATED,CHARACTER,3,0,,N
EXPLAIN_STATEMENT,DELETABLE,CHARACTER,1,0,,N
EXPLAIN_STATEMENT,EXPLAIN_LEVEL,CHARACTER,1,0,,N
EXPLAIN_STATEMENT,EXPLAIN_REQUESTER,VARCHAR,128,0,,N
EXPLAIN_STATEMENT,EXPLAIN_TIME,TIMESTAMP,10,6,,N
EXPLAIN_STATEMENT,QUERYNO,INTEGER,4,0,,N
EXPLAIN_STATEMENT,QUERYTAG,CHARACTER,20,0,,N
EXPLAIN_STATEMENT,QUERY_DEGREE,INTEGER,4,0,,N
EXPLAIN_STATEMENT,SECTNO,INTEGER,4,0,,N
EXPLAIN_STATEMENT,SNAPSHOT,BLOB,10485760,0,,Y
EXPLAIN_STATEMENT,SOURCE_NAME,VARCHAR,128,0,,N
EXPLAIN_STATEMENT,SOURCE_SCHEMA,VARCHAR,128,0,,N
EXPLAIN_STATEMENT,SOURCE_VERSION,VARCHAR,64,0,,N
EXPLAIN_STATEMENT,STATEMENT_TEXT,CLOB,2097152,0,,N
EXPLAIN_STATEMENT,STATEMENT_TYPE,CHARACTER,2,0,,N
EXPLAIN_STATEMENT,STMTNO,INTEGER,4,0,,N
EXPLAIN_STATEMENT,TOTAL_COST,DOUBLE,8,0,,N
EXPLAIN_STATEMENT,UPDATABLE,CHARACTER,1,0,,N
EXPLAIN_STREAM,COLUMN_COUNT,SMALLINT,2,0,,N
EXPLAIN_STREAM,COLUMN_NAMES,CLOB,2097152,0,,Y
EXPLAIN_STREAM,EXPLAIN_LEVEL,CHARACTER,1,0,,N
EXPLAIN_STREAM,EXPLAIN_REQUESTER,VARCHAR,128,0,,N
EXPLAIN_STREAM,EXPLAIN_TIME,TIMESTAMP,10,6,,N
EXPLAIN_STREAM,OBJECT_NAME,VARCHAR,128,0,,Y
EXPLAIN_STREAM,OBJECT_SCHEMA,VARCHAR,128,0,,Y
EXPLAIN_STREAM,PARTITION_COLUMNS,CLOB,2097152,0,,Y
EXPLAIN_STREAM,PMID,SMALLINT,2,0,,N
EXPLAIN_STREAM,PREDICATE_ID,INTEGER,4,0,,N
EXPLAIN_STREAM,SECTNO,INTEGER,4,0,,N
EXPLAIN_STREAM,SINGLE_NODE,CHARACTER,5,0,,Y
EXPLAIN_STREAM,SOURCE_ID,INTEGER,4,0,,N
EXPLAIN_STREAM,SOURCE_NAME,VARCHAR,128,0,,N
EXPLAIN_STREAM,SOURCE_SCHEMA,VARCHAR,128,0,,N
EXPLAIN_STREAM,SOURCE_TYPE,CHARACTER,1,0,,N
EXPLAIN_STREAM,SOURCE_VERSION,VARCHAR,64,0,,N
EXPLAIN_STREAM,STMTNO,INTEGER,4,0,,N
EXPLAIN_STREAM,STREAM_COUNT,DOUBLE,8,0,,N
EXPLAIN_STREAM,STREAM_ID,INTEGER,4,0,,N
EXPLAIN_STREAM,TARGET_ID,INTEGER,4,0,,N
EXPLAIN_STREAM,TARGET_TYPE,CHARACTER,1,0,,N
GAL102TBX,COUNTER,INTEGER,4,0,,Y
GAL102TBX,CREATE_TIMESTAMP,TIMESTAMP,10,6,,Y
GAL102TBX,PRODUCTION_LOT,CHARACTER,20,0, ',N
GAL102TBX,UPDATE_TIMESTAMP,TIMESTAMP,10,6,,Y
GAL103TBX,CREATE_TIMESTAMP,TIMESTAMP,10,6,,Y
GAL103TBX,CURRENT_SEQUENCE_NUMBER,INTEGER,4,0,,Y
GAL103TBX,PROCESS_POINT_ID,CHARACTER,16,0, ',N
GAL103TBX,UPDATE_TIMESTAMP,TIMESTAMP,10,6,,Y
GAL105TBX,CREATE_TIMESTAMP,TIMESTAMP,10,6,,Y
GAL105TBX,ERROR_FREQ_1,SMALLINT,2,0,,Y
GAL105TBX,ERROR_FREQ_2,SMALLINT,2,0,,Y
GAL105TBX,LOGIN_STATUS,CHARACTER,1,0,,Y
GAL105TBX,PASSWD,CHARACTER,8,0,,Y
GAL105TBX,PASSWD_1,CHARACTER,8,0,,Y
GAL105TBX,PASSWD_2,CHARACTER,8,0,,Y
GAL105TBX,PASSWD_3,CHARACTER,8,0,,Y
GAL105TBX,PASSWD_4,CHARACTER,8,0,,Y
GAL105TBX,PASSWD_5,CHARACTER,8,0,,Y
GAL105TBX,PASSWD_UPD_DT,CHARACTER,8,0,,Y
