ID,carrierNumber,tagID,dieNumber,quantity,updateDate,currentLocation,destination,status,originationLocation,buffer,productionRunNumber,productionRunTimestamp
601,601,0,999,0,2011-12-02 11:37:26.446,1215,1215,0,2003,0,999,2011-12-02 11:37:26.446
602,602,0,2,13,2011-11-29 16:25:14.274,1208,1208,0,502,0,201111294,2011-11-29 16:25:14.274
603,603,0,999,0,2011-12-02 09:51:17.277,1205,1205,0,2003,0,999,2011-12-02 09:51:17.277
604,604,0,999,0,2011-11-30 23:25:41.977,1221,1221,0,2003,0,999,2011-11-30 23:25:41.977
605,605,0,999,0,2011-12-02 07:38:56.940,1206,1206,0,2003,0,999,2011-12-02 07:38:56.940
606,606,0,999,0,2011-12-02 10:14:28.378,1205,1205,0,2003,0,999,2011-12-02 10:14:28.378
607,607,0,999,0,2011-12-02 12:13:29.686,1215,1215,0,2003,0,999,2011-12-02 12:13:29.686
608,608,0,999,0,2011-11-30 22:42:41.607,5200,5200,0,2003,0,999,2011-11-30 22:31:08.380
609,609,0,999,0,2011-12-02 09:48:12.472,1213,1213,0,2003,0,999,2011-12-02 09:48:12.472
610,610,0,999,0,2011-12-02 09:47:06.977,1213,1213,0,2003,0,999,2011-12-02 09:47:06.977
611,611,0,999,0,2011-11-30 23:27:24.274,1221,1221,0,2003,0,999,2011-11-30 23:27:24.274
612,612,0,999,0,2011-12-02 08:53:57.681,1211,1211,0,2003,0,999,2011-12-02 08:53:57.681
613,613,0,2,7,2011-11-07 08:53:29.552,1500,1800,0,1800,0,999,2011-11-07 06:28:48.730
614,614,0,999,0,2011-12-02 09:44:55.979,1213,1213,0,2003,0,999,2011-12-02 09:44:55.979
615,615,0,999,0,2011-12-01 20:55:14.293,13400,2003,0,10900,0,999,2011-12-01 20:51:25.194
616,616,0,67,12,2011-12-02 21:54:28.220,1230,1230,0,506,0,20111224,2011-12-02 21:54:28.220
617,617,0,66,12,2011-12-02 20:46:16.377,1233,1233,0,506,0,20111223,2011-12-02 20:46:16.377
618,618,0,999,0,2011-11-30 22:02:04.292,5200,5200,0,2003,0,999,2011-11-30 19:48:28.416
619,619,0,999,0,2011-12-01 20:39:14.323,13400,2003,0,1800,0,999,2011-12-01 20:34:15.022
620,620,0,67,12,2011-12-02 22:39:14.263,10100,10100,0,506,0,20111215,2011-12-01 17:08:56.479
621,621,0,999,0,2011-12-02 00:41:04.287,1226,1226,0,2003,0,999,2011-12-02 00:41:04.287
622,622,0,999,0,2011-12-02 08:06:55.724,1210,1210,0,2003,0,999,2011-12-02 08:06:55.724
623,623,0,72,12,2011-12-02 21:38:03.364,1223,1223,0,506,0,20111224,2011-12-02 21:38:03.364
624,624,0,999,0,2011-12-01 21:07:03.823,13400,2003,0,11900,0,999,2011-12-01 21:03:14.924
626,626,0,999,0,2011-12-02 20:52:07.892,13400,2003,0,3700,0,999,2011-12-02 20:48:00.086
627,627,0,67,12,2011-12-02 22:34:39.648,1230,1230,0,502,0,20111224,2011-12-02 22:34:39.648
629,629,0,7,13,2011-11-21 10:47:09.229,1225,1225,0,502,0,201111214,2011-11-21 10:47:09.229
630,630,0,999,0,2011-12-03 00:47:43.017,300,403,0,11900,0,999,2011-12-02 22:14:02.789
631,631,0,66,12,2011-12-02 18:48:05.160,1233,1233,0,506,0,20111223,2011-12-02 18:48:05.160
633,633,0,67,12,2011-11-30 15:02:37.314,702,700,0,506,0,201111302,2011-11-30 12:22:17.251
634,634,0,66,12,2011-12-02 21:02:59.149,1400,500,0,506,1,20111223,2011-12-02 16:00:17.373
635,635,0,999,0,2011-12-02 20:33:41.161,13400,2003,0,1800,0,999,2011-12-02 20:29:40.234
636,636,0,96,11,2011-11-28 17:12:10.727,1229,1229,0,506,0,201111286,2011-11-28 17:12:10.727
638,638,0,999,0,2011-12-02 10:12:10.479,1205,1205,0,2003,0,999,2011-12-02 10:12:10.479
639,639,0,999,0,2011-12-03 00:47:13.906,2003,2003,0,1800,1,999,2011-12-01 20:21:10.564
640,640,0,2,13,2011-11-29 15:03:21.300,1218,1218,0,502,0,201111294,2011-11-29 15:03:21.300
641,641,0,999,0,2011-12-02 07:16:37.363,1206,1206,0,2003,0,999,2011-12-02 07:16:37.363
642,642,0,8,13,2011-11-30 07:54:24.019,1212,1212,0,502,0,201111301,2011-11-30 07:54:24.019
645,645,0,999,0,2011-12-02 05:29:41.157,2012,2003,0,10900,0,999,2011-11-22 20:07:58.171
646,646,0,96,11,2011-12-02 14:02:41.998,1229,1229,0,502,1,201111286,2011-11-28 16:42:38.949
