ID,carrierNumber,tagID,dieNumber,quantity,updateDate,currentLocation,destination,status,originationLocation,buffer,productionRunNumber,productionRunTimestamp,source
816,816,0,999,0,2011-12-02 16:05:59.986,2010,2003,0,11900,1,999,2011-12-01 07:47:36.630,NOT_SET
818,818,0,67,12,2011-12-02 23:29:16.239,15500,10100,0,502,0,20111224,2011-12-02 21:52:12.916,NOT_SET
820,820,0,97,11,2011-11-30 14:49:19.286,702,700,0,502,1,201111223,2011-11-22 16:02:52.615,NOT_SET
821,821,0,8,13,2011-11-30 07:55:29.763,1212,1212,0,506,0,201111301,2011-11-30 07:55:29.763,NOT_SET
822,822,0,999,0,2011-12-02 09:02:48.835,1211,1211,0,2003,0,999,2011-12-02 09:02:48.835,NOT_SET
824,824,0,66,12,2011-12-02 20:16:40.964,1232,1232,0,506,0,20111223,2011-12-02 20:16:40.964,NOT_SET
827,827,0,2,13,2011-12-01 13:51:25.989,1224,1224,0,502,0,201111172,2011-12-01 13:51:25.989,NOT_SET
834,834,0,999,0,2011-11-30 23:11:50.031,5200,5200,0,2003,0,999,2011-11-30 22:48:06.664,NOT_SET
836,836,0,999,0,2011-11-30 21:56:05.456,5200,2003,0,2003,0,999,2011-11-30 19:42:14.798,NOT_SET
837,837,0,999,0,2011-12-02 08:13:28.839,1210,1210,0,2003,0,999,2011-12-02 08:13:28.839,NOT_SET
838,838,0,999,0,2011-12-02 00:42:24.292,1226,1226,0,2003,0,999,2011-12-02 00:42:24.292,NOT_SET
839,839,0,66,12,2011-12-02 19:51:09.512,1232,1232,0,502,0,20111223,2011-12-02 19:51:09.512,NOT_SET
840,840,0,96,0,2011-12-02 16:41:14.306,12400,11900,0,11900,0,999,2011-12-02 16:20:01.936,NOT_SET
841,841,0,999,0,2011-12-02 01:22:07.719,1226,1226,0,2003,0,999,2011-12-02 01:22:07.719,NOT_SET
842,842,0,66,12,2011-12-02 16:48:30.133,1231,1231,0,506,0,20111223,2011-12-02 16:48:30.133,NOT_SET
844,844,0,67,12,2011-12-02 22:14:59.982,1000,500,0,506,0,20111215,2011-12-01 17:13:18.736,NOT_SET
845,845,0,999,0,2011-12-02 11:26:22.821,13400,2003,0,3700,0,999,2011-12-02 10:59:46.126,NOT_SET
846,846,0,999,0,2011-12-03 00:47:52.711,13500,2003,0,10900,1,999,2011-12-02 23:22:34.622,NOT_SET
851,851,0,67,12,2011-12-02 23:25:31.126,15200,10100,0,502,0,20111215,2011-12-01 17:23:59.678,NOT_SET
852,852,0,96,11,2011-11-28 17:40:27.016,1229,1229,0,502,0,201111286,2011-11-28 17:40:27.016,NOT_SET
855,855,0,999,0,2011-11-30 22:37:16.509,5200,5200,0,2003,0,999,2011-11-30 22:14:33.950,NOT_SET
856,856,0,66,12,2011-12-02 20:06:58.146,1232,1232,0,506,0,20111223,2011-12-02 20:06:58.146,NOT_SET
857,857,0,999,0,2011-12-02 07:40:02.244,1206,1206,0,2003,0,999,2011-12-02 07:40:02.244,NOT_SET
858,858,0,7,13,2011-11-21 10:42:21.184,1225,1225,0,502,0,201111214,2011-11-21 10:42:21.184,NOT_SET
860,860,0,999,0,2011-11-30 21:50:41.030,5200,2003,0,2003,0,999,2011-11-30 18:42:13.490,NOT_SET
862,862,0,999,0,2011-12-02 10:22:40.395,1217,1217,0,2003,1,999,2011-12-02 10:21:40.199,NOT_SET
863,594,0,999,0,2011-12-01 18:15:43.431,5200,5200,0,506,0,20111215,2011-12-01 15:25:58.435,NOT_SET
864,88,0,67,12,2011-12-02 23:12:55.379,15400,10100,0,506,0,20111215,2011-12-01 17:18:27.530,NOT_SET
865,910,0,67,12,2011-11-30 14:56:17.988,702,700,0,506,0,201111302,2011-11-30 12:06:41.916,NOT_SET
866,911,0,999,0,2011-11-30 22:54:29.975,5200,5200,0,2003,0,999,2011-11-30 22:33:49.381,NOT_SET
867,918,0,999,0,2011-12-01 22:19:38.675,13400,2003,0,10900,0,999,2011-12-01 22:15:20.584,NOT_SET
868,913,0,66,12,2011-12-02 19:51:56.469,1232,1232,0,506,0,20111223,2011-12-02 19:51:56.469,NOT_SET
869,905,0,999,0,2011-12-03 00:47:26.113,2002,2003,0,10900,0,999,2011-12-02 22:50:15.834,NOT_SET
870,902,0,96,11,2011-11-28 17:14:51.048,1229,1229,0,506,0,201111286,2011-11-28 17:14:51.048,NOT_SET
871,901,0,999,0,2011-12-02 18:32:22.104,13400,2003,0,11900,0,999,2011-12-02 18:28:33.595,NOT_SET
872,900,0,66,12,2011-12-02 20:12:11.676,1232,1232,0,506,0,20111223,2011-12-02 20:12:11.676,NOT_SET
873,906,0,999,0,2011-12-02 00:47:46.696,1226,1226,0,2003,0,999,2011-12-02 00:47:46.696,NOT_SET
874,904,0,67,12,2011-12-02 20:40:30.750,2500,500,0,506,0,20111215,2011-12-01 18:05:47.183,NOT_SET
875,903,0,999,0,2011-12-02 21:41:45.674,13400,2003,0,2003,0,999,2011-12-02 21:37:56.765,NOT_SET
876,909,0,8,13,2011-11-30 08:43:56.012,1216,1216,0,506,0,201111301,2011-11-30 08:43:56.012,NOT_SET
877,907,0,97,11,2011-12-02 14:00:28.586,1209,1209,0,506,1,201111223,2011-11-22 14:26:04.774,NOT_SET
878,912,0,8,13,2011-12-02 12:06:43.352,1222,1222,0,506,0,201111301,2011-12-02 12:06:43.352,NOT_SET
879,917,0,999,0,2011-12-02 08:11:17.931,1210,1210,0,2003,0,999,2011-12-02 08:11:17.931,NOT_SET
880,919,0,96,11,2011-11-28 17:13:30.842,1229,1229,0,502,0,201111286,2011-11-28 17:13:30.842,NOT_SET
881,915,0,67,12,2011-12-03 00:51:30.114,1230,1230,0,506,0,20111231,2011-12-03 00:51:30.114,NOT_SET
882,908,0,999,0,2011-12-02 13:17:06.705,1214,1214,0,2003,0,999,2011-12-02 13:17:06.705,NOT_SET
883,914,0,999,0,2011-12-02 21:43:42.282,13400,2003,0,2003,0,999,2011-12-02 21:39:09.670,NOT_SET
